#cog	%_occurence	thereof_%_singlecopy	%_occurence_as_singlecopy
KOG2035	99.6	85.3	84.9
KOG2036	99.2	85.8	85.1
KOG2042	99.2	57.5	57.0
KOG2062	99.6	79.2	78.8
KOG2102	100.0	1.3	1.3
KOG2121	99.2	46.1	45.7
KOG2145	99.8	83.4	83.2
KOG2159	99.2	69.6	69.0
KOG2166	99.6	1.3	1.3
KOG2171	99.8	10.1	10.1
KOG2189	99.8	40.5	40.5
KOG2198	99.8	34.5	34.4
KOG2201	99.6	49.9	49.7
KOG2229	99.4	88.2	87.6
KOG2245	99.6	36.6	36.5
KOG2267	99.2	84.8	84.1
KOG2292	99.4	44.9	44.7
KOG2298	99.4	50.6	50.3
KOG2309	99.2	76.5	75.9
KOG2314	99.4	88.0	87.4
KOG2323	100.0	41.3	41.3
KOG2335	100.0	14.0	14.0
KOG2388	99.4	51.5	51.2
KOG2413	99.6	36.8	36.7
KOG2423	99.2	91.1	90.4
KOG2439	99.4	70.5	70.0
KOG2440	99.4	43.2	43.0
KOG2472	99.8	60.9	60.8
KOG2509	100.0	4.6	4.6
KOG2519	99.8	26.1	26.0
KOG2572	99.4	83.8	83.2
KOG2573	99.4	83.1	82.6
KOG2581	99.2	85.8	85.1
KOG2648	99.6	4.6	4.6
KOG2670	99.6	42.5	42.3
KOG2747	99.6	14.3	14.3
KOG2757	99.4	64.6	64.2
KOG2759	99.2	87.7	87.0
KOG2767	99.4	82.7	82.2
KOG2775	99.8	67.2	67.1
KOG2867	99.2	54.1	53.7
KOG2874	99.4	87.8	87.2
KOG2908	99.4	85.7	85.1
KOG2909	99.6	69.1	68.8
KOG2952	99.2	39.7	39.4
KOG2971	99.6	87.4	87.0
KOG3020	99.8	8.4	8.4
KOG3022	100.0	1.5	1.5
KOG3078	99.6	3.6	3.6
KOG3079	99.4	33.1	32.9
KOG3106	99.2	28.8	28.5
KOG3181	99.8	75.6	75.5
KOG3184	99.8	43.5	43.4
KOG3255	99.6	69.3	69.0
KOG3283	99.2	72.3	71.7
KOG3291	100.0	13.0	13.0
KOG3330	99.2	72.1	71.5
KOG4177	99.8	7.8	7.8
